batch,contrast,a,b,assigned_task_clusters,complete_task_pairs,coverage_of_assigned_tasks,a_only_passes,b_only_passes,quality_difference_pp,quality_difference_descriptive_ci95_pp,quality_ci_type,api_cost_difference_usd,api_cost_descriptive_ci95_usd,api_cost_denominator,resource_complete_pairs,api_cost_difference_all_resource_pairs_usd,api_cost_ci95_all_resource_pairs_usd
original,SR-SN,single_roles,single_neutral,200,87,0.435,2,4,-2.2988505747126435,"[-8.045977011494253, 3.4482758620689653]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,-0.0012637344827586211,"[-0.002431700689655174, -0.000170593448275862]",quality-complete pairs (legacy field above),89,-0.0013700494382022474,"[-0.0025642875000000003, -0.00026846233146067414]"
original,MR-MN,multi_roles,multi_neutral,200,89,0.445,7,4,3.3707865168539324,"[-3.3707865168539324, 11.235955056179774]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,-0.0007137859550561794,"[-0.0025738178932584264, 0.001070634101123594]",quality-complete pairs (legacy field above),91,-0.0007189862637362639,"[-0.0025381273763736252, 0.0010376005219780212]"
original,MN-SN,multi_neutral,single_neutral,200,87,0.435,3,5,-2.2988505747126435,"[-9.195402298850574, 4.597701149425287]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,0.012086298275862068,"[0.010385246077586206, 0.013985304568965516]",quality-complete pairs (legacy field above),89,0.012022225280898876,"[0.010316213469101124, 0.013859540308988762]"
original,MR-SR,multi_roles,single_roles,200,90,0.45,7,3,4.444444444444445,"[-2.2222222222222223, 11.11111111111111]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,0.012636260000000002,"[0.010974839166666668, 0.014382452749999998]",quality-complete pairs (legacy field above),92,0.012671980434782609,"[0.01100766697010869, 0.01439402629076087]"
continuation,SR-SN,single_roles,single_neutral,200,102,0.51,4,4,0.0,"[-4.926470588235272, 4.901960784313726]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,-0.0022192323529411774,"[-0.003338948823529412, -0.0011747088970588235]",quality-complete pairs (legacy field above),106,-0.002301718867924529,"[-0.0034005074292452844, -0.0012570200943396227]"
continuation,MR-MN,multi_roles,multi_neutral,200,103,0.515,3,4,-0.970873786407767,"[-5.825242718446602, 3.8834951456310676]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,-0.00021488009708737826,"[-0.0020004320752427178, 0.0015175557888349514]",quality-complete pairs (legacy field above),107,-6.960700934579458e-05,"[-0.001802677149532711, 0.00167251433411215]"
continuation,MN-SN,multi_neutral,single_neutral,200,104,0.52,3,10,-6.730769230769231,"[-13.461538461538462, 0.0]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,0.011370970673076923,"[0.009487502163461538, 0.01350604287259616]",quality-complete pairs (legacy field above),108,0.011348281944444443,"[0.009536546284722228, 0.013400990798611113]"
continuation,MR-SR,multi_roles,single_roles,200,102,0.51,0,8,-7.8431372549019605,"[-13.725490196078432, -2.941176470588235]",descriptive task-cluster bootstrap percentile interval; not provider/run uncertainty,0.013559527941176475,"[0.011712394301470586, 0.015643266139705878]",quality-complete pairs (legacy field above),107,0.013916889252336452,"[0.012044479731308413, 0.015938204369158875]"
