context,b2_tokens,b3_tokens,b0_tokens,b3_vs_b2_savings_pct,b3_vs_b0_token_change_pct
256,2737.9,1379.25,745.65,49.623799262208266,84.97284248642126
1024,5486.8,2270.5,1650.8,58.618867099219955,37.53937484855827
4096,16006.75,5663.55,5133.7,64.61773939119433,10.32101603132245
16384,58110,5632.9,19159.5,90.30648769574944,-70.5999634645998
